Y,X1,X2,X3
344697138,807,554,771
19930050,81,950,259
138388194,161,954,901
98108682,259,622,609
106579165,245,781,557
4164048,189,204,108
60795375,375,223,727
1595880,195,93,88
26213570,730,149,241
181783721,961,443,427
2293410,815,938,3
17080168,356,298,161
75996750,642,947,125
4677376,352,302,44
2449520,16,457,335
63806848,952,472,142
99900,370,3,90
360707592,604,826,723
30427824,68,761,588
2092202,577,74,49
13533003,99,187,731
87777690,407,273,790
39174720,219,260,688
34562440,121,740,386
11892447,801,49,303
30984496,184,269,626
9910320,347,48,595
255227856,431,876,676
99538580,830,983,122
82868800,350,302,784
415380,230,6,301
252754150,722,475,737
179069208,824,677,321
80816436,629,387,332
1614256,28,203,284
202350046,883,769,298
1321670,395,14,239
307003950,569,981,550
63680256,288,333,664
66239360,776,388,220
39293430,713,110,501
50803935,409,245,507
58420440,584,585,171
44222500,700,133,475
231485202,702,531,621
39409672,86,586,782
55757037,479,161,723
86995140,263,745,444
107669365,985,389,281
3111120,894,12,290
4194680,280,71,211
47329470,603,835,94
4233012,92,147,313
109418832,431,369,688
682940160,756,941,960
127988174,223,694,827
19115616,289,212,312
309996960,755,987,416
662589000,1000,747,887
9234180,610,261,58
1892352,96,352,56
18229992,199,264,347
47092248,223,252,838
20930910,574,51,715
1266408,33,156,246
113030720,652,176,985
2158786,14,271,569
125343400,700,194,923
94776192,552,292,588
8753346,189,83,558
52390000,625,169,496
40518660,362,390,287
228654946,773,403,734
4244880,769,552,10
176221656,367,684,702
63555456,562,124,912
229509120,384,964,620
271320192,648,976,429
7753900,190,55,742
631472,488,647,2
78800508,662,389,306
148689998,934,401,397
1593240,60,142,187
299374056,568,723,729
29960154,591,238,213
125448440,260,782,617
5160576,534,151,64
33326760,940,38,933
36120540,426,305,278
273003399,621,499,881
28150312,206,269,508
358360968,903,878,452
67261320,205,882,372
150970680,556,431,630
29478180,521,943,60
10639664,662,196,82
104938750,134,875,895
196118466,622,463,681
40828016,68,818,734
109043712,144,768,986
3667356,594,343,18
1978845,67,895,33
49022820,154,810,393
31106268,76,489,837
6083154,171,42,847
216959496,359,676,894
573767901,873,789,833
40713540,434,795,118
63578788,317,203,988
402445165,569,901,785
300391212,443,726,934
50286544,308,343,476
188060103,867,313,693
3602742,38,507,187
162233720,440,697,529
393459492,604,723,901
110670500,250,778,569
387808100,562,925,746
51015900,309,650,254
47614416,708,92,731
2647206,17,246,633
328708835,611,809,665
12573440,640,893,22
9735663,103,643,147
101962476,732,603,231
31537000,275,244,470
48250440,246,467,420
622561932,838,894,831
45621300,723,631,100
480110400,866,700,792
30630873,609,949,53
7792200,148,150,351
463237434,594,827,943
3150009,729,29,149
92582268,667,269,516
21378420,855,28,893
67376568,184,987,371
28532400,400,767,93
428221794,777,902,611
141250832,562,706,356
452015828,587,814,946
18985120,46,560,737
142260921,747,199,957
2722850,767,142,25
22076196,103,318,674
8501150,749,227,50
261114240,496,856,615
109630976,724,448,338
34476288,224,363,424
196912890,851,270,857
523834192,742,716,986
19012800,160,255,466
2472624,12,446,462
357210,126,15,189
9160280,709,19,680
38750250,605,122,525
233432238,426,793,691
140642112,536,377,696
8693256,374,156,149
557449695,797,785,891
20118990,766,85,309
249184936,481,841,616
137572296,596,527,438
68001120,212,360,891
150687480,232,795,817
8621070,41,326,645
10363248,414,84,298
27847424,88,464,682
81276480,480,818,207
66800600,569,587,200
12831700,797,230,70
86325624,616,207,677
69460248,962,547,132
116444160,760,504,304
28715040,765,102,368
115822278,702,283,583
87991974,261,483,698
250480074,382,663,989
221222694,759,763,382
222019536,888,298,839
221110752,503,964,456
16113552,868,51,364
252450,306,75,11
29072280,380,311,246
11771760,231,112,455
46750660,292,451,355
21434850,570,115,327
101138058,434,243,959
211069344,552,877,436
76140960,860,124,714
280763776,496,818,692
25719040,355,256,283
105542400,320,717,460
105870033,237,461,969
54282800,550,584,169
186701312,256,791,922
190216,236,13,62
180207300,805,410,546
30240,8,21,180
7972692,298,98,273
89766873,441,359,567
62169436,401,343,452
72398274,769,142,663
86808400,490,860,206
1403244,426,61,54
34042500,250,267,510
25554003,173,929,159
13542336,461,102,288
553977072,948,932,627
76300920,516,795,186
191140852,668,997,287
165184896,708,368,634
402639884,796,853,593
13988520,252,182,305
34008354,61,659,846
48339720,156,495,626
3942750,250,21,751
89207904,197,712,636
164040786,387,959,442
4808060,622,773,10
29777166,459,199,326
517742253,873,911,651
23161336,484,674,71
99188712,788,666,189
344674820,692,931,535
249323424,563,672,659
245749500,900,485,563
356553120,880,462,877
18521118,966,83,231
65479287,411,313,509
15370717,211,751,97
21272004,327,468,139
4572864,16,934,306
262857670,794,365,907
503800528,956,812,649
199536480,684,935,312
108497410,679,841,190
26851500,156,675,255
130901120,427,958,320
81333270,265,578,531
62972840,931,152,445
49473297,139,639,557
86282420,532,995,163
6980064,282,34,728
16153344,648,304,82
113514830,974,143,815
31205592,123,264,961
325384290,777,517,810
16841790,95,882,201
3693340,851,140,31
87124050,843,150,689
38351216,668,62,926
12602304,176,156,459
202097700,867,450,518
9613500,986,975,10
7650720,126,368,165
291188732,797,964,379
3552896,41,677,128
84205906,457,362,509
10554144,446,493,48
4191582,37,474,239
55345096,977,194,292
581940722,757,913,842
319020856,506,644,979
94286202,417,863,262
654528280,797,980,838
24384360,77,455,696
14309784,306,54,866
598425942,934,739,867
72092484,366,353,558
611454375,795,879,875
321715296,912,681,518
20607636,606,347,98
20524680,365,99,568
24494480,265,424,218
199257408,918,912,238
84494592,728,372,312
15384600,231,666,100
256789800,450,662,862
82619082,391,774,273
28609776,153,208,899
181580112,722,504,499
531807640,772,910,757
101860473,849,839,143
65919840,853,420,184
229741008,798,679,424
12066390,963,179,70
60788880,243,265,944
72924768,488,252,593
10182928,46,268,826
74397576,137,968,561
300590640,516,730,798
84292560,464,495,367
81259200,760,162,660
4972800,777,320,20
242950092,583,462,902
46475088,69,979,688
482952120,740,758,861
36316980,185,738,266
13256012,308,193,223
160914572,742,439,494
226182384,722,916,342
40926738,227,453,398
226261200,562,550,732
17258400,675,376,68
33585792,587,96,596
15759744,287,528,104
227510640,734,369,840
5755568,118,52,938
27244800,240,688,165
10354464,942,12,916
102989400,340,878,345
51652800,360,844,170
13269987,327,81,501
375289740,945,983,404
74844553,569,437,301
154767872,392,398,992
493981200,863,600,954
66530672,641,104,998
239405472,804,456,653
166323164,707,412,571
224879950,485,466,995
43437360,474,395,232
68083015,793,223,385
75634172,727,124,839
164372796,244,867,777
6912466,11,719,874
26983600,419,560,115
296763048,892,366,909
47511333,369,257,501
2690688,16,392,429
42127416,472,141,633
5275830,777,10,679
26458750,625,61,694
276792246,789,354,991
18806580,351,380,141
26370396,841,36,871
17488080,454,856,45
96505500,364,375,707
111468448,379,707,416
190153728,878,576,376
434091600,865,612,820
80684736,506,264,604
157172400,945,396,420
133983246,862,263,591
634023412,737,998,862
172011848,391,508,866
86245668,222,573,678
258635960,974,355,748
49730296,836,98,607
85530720,330,334,776
112638840,778,635,228
32057196,282,226,503
42556032,318,328,408
35750400,760,84,560
472638320,791,776,770
56697651,159,423,843
145988874,687,331,642
353257212,714,946,523
16813368,39,781,552
19945170,519,45,854
160528416,544,589,501
119553228,662,381,474
497454204,884,611,921
149674248,852,437,402
43625296,368,829,143
11688768,192,223,273
438574500,910,765,630
181173808,788,502,458
6224250,965,430,15
35324982,993,147,242
5359900,475,182,62
285427164,638,519,862
2852460,53,234,230
25401555,417,655,93
22872360,84,746,365
12166422,779,114,137
80457600,400,348,578
679943376,826,888,927
186553256,479,712,547
39313118,598,389,169
40506480,912,987,45
6046560,570,51,208
683316,74,486,19
15312,33,16,29
78653104,337,464,503
191109732,583,926,354
128160600,502,690,370
14166528,184,401,192
29430940,308,659,145
154260288,763,972,208
158763066,506,669,469
71985888,156,612,754
238567680,531,832,540
23544654,139,777,218
84869436,804,283,373
307293880,523,740,794
285483880,946,382,790
65112768,189,769,448
200118492,677,357,828
56194452,381,612,241
9578250,135,946,75
210670592,704,472,634
481542612,969,566,878
155979872,394,908,436
388219687,599,751,863
10549968,29,636,572
33954765,685,123,403
29066310,490,351,169
177245824,674,448,587
135532698,173,811,966
81198096,196,874,474
78966576,516,156,981
3731200,200,106,176
159241788,828,419,459
45585750,105,950,457
156842136,396,561,706
130421586,969,173,778
125615259,253,497,999
46284615,531,117,745
50199232,296,172,986
9763910,494,335,59
439045110,945,974,477
170735456,743,344,668
320350650,785,915,446
45022068,567,509,156
37643100,561,610,110
117208980,180,679,959
328239440,943,916,380
234463824,882,707,376
35263000,358,500,197
46309518,223,417,498
5887241,359,713,23
472569444,738,822,779
59339880,863,764,90
52447468,538,158,617
7267844,163,157,284
192555975,475,829,489
211164426,414,979,521
40803750,325,775,162
31581990,73,690,627
56347200,215,585,448
116407434,211,858,643
100310694,363,593,466
434327844,699,652,953
181379216,709,472,542
476396424,721,874,756
5342960,47,203,560
783180,1,855,916
251807370,274,985,933
417582984,789,728,727
17086356,679,54,466
8004510,151,190,279
546688737,669,981,833
3081420,510,114,53
3159318,271,402,29
7656012,78,171,574
13212264,636,94,221
33320412,409,186,438
17209500,44,745,525
253367712,962,531,496
89655648,402,263,848
19738416,941,92,228
649304760,808,951,845
143063748,388,477,773
40897752,419,98,996
315576,1,487,648
78608250,315,310,805
191380976,667,454,632
277108920,957,456,635
35232120,217,738,220
458937270,629,990,737
56507256,292,827,234
242956935,897,463,585
168524400,748,751,300
20215912,652,74,419
167083560,315,636,834
26331228,649,84,483
370845780,526,993,710
7763364,28,567,489
253316778,858,779,379
42989760,531,115,704
26329056,68,876,442
172116450,545,435,726
64644996,516,419,299
50587680,715,96,737
16168944,66,271,904
8358220,310,34,793
199013804,718,473,586
139641200,295,970,488
5354270,290,499,37
221765094,606,657,557
214362348,284,809,933
19420830,715,54,503
125664,112,51,22
2526524,308,13,631
500622660,804,909,685
113629040,410,392,707
23458005,81,449,645
181397700,753,438,550
128932575,475,523,519
235079712,432,827,658
84359040,318,829,320
302304679,499,887,683
400397400,482,900,923
128785800,975,209,632
69774760,914,694,110
66661584,753,503,176
688506,6,169,679
11986110,431,206,135
286898304,939,682,448
113578080,176,878,735
382150080,767,960,519
204288000,875,456,512
355386360,861,607,680
593820144,964,852,723
61627720,748,749,110
28873152,868,54,616
71609780,205,934,374
25177152,262,224,429
65638440,915,196,366
877315704,907,984,983
266066112,536,962,516
9111872,946,56,172
97489476,948,177,581
266519251,629,551,769
46031328,387,288,413
10697440,695,104,148
71906090,289,895,278
56519550,122,725,639
35704510,101,530,667
32398942,218,331,449
14257628,196,389,187
12046020,115,602,174
498940,95,101,52
141636000,725,264,740
92298780,612,695,217
192976776,948,263,774
58596599,211,839,331
39669296,746,92,578
6234228,819,44,173
326078361,823,399,993
21871775,425,971,53
69762497,127,679,809
587610659,947,863,719
8303424,733,48,236
204239721,551,929,399
1170624,67,104,168
2881152,984,732,4
16860600,360,95,493
3691380,55,282,238
185714550,963,290,665
20444470,863,103,230
62129754,243,991,258
50744694,994,561,91
179558071,239,887,847
23883000,57,500,838
11510523,811,171,83
11524436,374,142,217
108491184,488,537,414
1914360,265,344,21
21606624,312,796,87
23343744,424,124,444
133828272,439,696,438
29912410,295,121,838
32279580,690,113,414
363108202,646,911,617
10120950,765,90,147
197682975,939,525,401
232185030,913,735,346
13231917,131,261,387
62818560,266,492,480
50280555,993,65,779
30028460,119,682,370
6222645,967,495,13
142845120,486,440,668
71794812,654,419,262
92486680,572,185,874
125172216,507,381,648
448886592,698,696,924
57583548,642,906,99
16936980,358,498,95
61721646,511,246,491
60975408,139,494,888
61242192,369,253,656
167899270,803,290,721
382434426,957,447,894
326060340,986,453,730
8955804,26,561,614
390456612,969,492,819
112207032,567,232,853
386456160,730,807,656
223042656,318,944,743
16019270,482,289,115
158427360,496,845,378
4990532,61,113,724
124966674,639,458,427
10080,3,120,28
42646878,241,261,678
282451200,960,313,940
55435012,412,683,197
83137036,694,673,178
488755275,865,695,813
35828946,171,743,282
38093146,622,91,673
271005588,993,684,399
328214304,792,662,626
44764000,80,950,589
54563230,445,202,607
81697121,829,187,527
107062076,671,706,226
31138560,954,102,320
19304850,215,438,205
39967200,427,120,780
32262900,516,205,305
637640864,928,721,953
22307670,87,770,333
30508200,120,255,997
58249632,406,392,366
223536264,697,966,332
102224826,937,627,174
90580,4,35,647
283416,98,241,12
390001800,590,690,958
13419252,132,721,141
356412208,983,496,731
469282830,687,830,823
153189225,535,945,303
44499978,261,523,326
